Description,CPT,Gross Charge
Inj trigger point 1/2 muscl,20552,4236.0
Drain/inj joint/bursa w/o us,20610,12614.43333
Removal of support implant,20680,45122.96765
Apply bone fixation device,20690,103555.7667
Apply bone fixation device,20692,116383.0
Mnl prep&insj dp rx dlvr dev,20700,32629.7
Sp bone algrft morsel add-on,20930,150953.745
Sp bone algrft struct add-on,20931,154755.6645
Sp bone agrft local add-on,20936,156885.735
Cptr-asst dir ms px,20985,128572.4968
Contour of face bone lesion,21029,29690.7
Remove exostosis mandible,21031,24373.62
Remove exostosis maxilla,21032,25784.2
Excise mandible lesion,21040,35502.8
Reconst lwr jaw w/fixation,21196,91489.15
Reconstruction of jaw joint,21240,49499.4
Clsd tx nsl fx w/mnpj&stablj,21320,18107.4
Drain neck/chest lesion,21501,28668.8
Biopsy of neck/chest,21550,40479.25
Exc neck les sc 3 cm/>,21552,24062.4
Exc neck les sc < 3 cm,21555,26112.8
Optx of rib fx w/fixj scope,21811,155987.1
Biopsy soft tissue of back,21925,26144.2
Exc back les sc 3 cm/>,21931,36208.125
Exc back tum deep 5 cm/>,21933,32021.7
Perq vertebral augmentation,22514,45558.7
Arthrd ant ntrbdy cervical,22551,120846.3921
Arthrd ant ntrbd cervical ea,22552,143437.1883
Arthrd ant ntrbd min dsc lum,22558,206501.85
Arthrd pre-sac ntrbdy l5-s1,22586,124352.0
Arthrd pst tq 1ntrspc lumbar,22612,216902.4444
Arthrd cmbn 1ntrspc lumbar,22633,248365.0167
Exploration of spinal fusion,22830,124352.0
Insert spine fixation device,22840,229046.8714
Insert spine fixation device,22842,222362.55
Insert spine fixation device,22845,116108.9115
Insert spine fixation device,22846,144029.92
Reinsert spinal fixation,22849,124352.0
Insj biomechanical device,22853,154931.3834
Tot disc arthrp 1ntrspc crv,22856,94458.775
Exc abd les sc < 3 cm,22902,17382.5
Exc abd les sc 3 cm/>,22903,19673.0
Unlisted px abdomen muscskel,22999,35075.9
Exc shoulder les sc 3 cm/>,23071,35741.4
Partial removal collar bone,23120,76006.425
Shoulder prosthesis removal,23335,225801.8
Muscle transfer shoulder/arm,23395,164278.6
Repair rotator cuff acute,23410,77464.15
Repair rotator cuff chronic,23412,79404.45
Repair of shoulder,23420,75860.1
Repair biceps tendon,23430,120092.8295
Remove/transplant tendon,23440,226399.0462
Repair shoulder capsule,23462,69804.8
Reconstruct shoulder joint,23472,262081.9877
Revis reconst shoulder joint,23474,142374.4
Optx clavicular fx w/int fix,23515,69245.32857
Optx prox humrl fx w/int fix,23615,81112.46667
Cltx sho dslc w/mnpj wo anes,23650,18253.91
Cltx sho dslc w/mnpj w/anes,23655,15268.41667
Cltx sho dslc fx gr hmrl tbr,23665,15082.0
Mnpj anes sho jt fixj aprats,23700,29787.1
I&d upr a/e bursa,23931,18368.5
Biopsy arm/elbow soft tissue,24066,40487.7
Exc arm/elbow les sc 3 cm/>,24071,22363.35
Exc arm/elbow les sc < 3 cm,24075,24041.1
Arthrt elbw jt expl bx rmvl,24101,29681.2
Excision olecranon bursa,24105,25124.13333
Partial exc bone humerus,24140,40898.0
Mnpj elbow under anes,24300,27033.2
Musc/tdn transfer upr a/e 1,24301,392914.7
Tenodesis biceps tdn at elbw,24340,52153.26667
Repair of ruptured tendon,24342,41248.7
Repr elbow lat ligmnt w/tiss,24343,58694.05
Repair elbow w/deb open,24358,30465.1
Repair elbow deb/attch open,24359,34056.625
Treat humerus fracture,24505,10576.0
Treat humerus fracture,24515,98048.6
Treat humerus fracture,24538,32582.84
Treat elbow dislocation,24600,14892.75
Treat elbow dislocation,24640,2537.157895
Treat radius fracture,24666,72570.25
Treat ulnar fracture,24675,90066.8
Treat ulnar fracture,24685,85216.06
Unlisted px humerus/elbow,24999,64980.5
Incision of tendon sheath,25000,29060.25
Exc forearm les sc < 3 cm,25075,19673.0
Remove wrist tendon lesion,25111,21818.1
Reremove wrist tendon lesion,25112,19590.5
Revise wrist/forearm tendon,25280,30465.1
Release wrist/forearm tendon,25295,26717.3
Repair/revise wrist joint,25320,110402.6
Repair radius or ulna,25400,42916.6
Reconstruct wrist joint,25442,72131.4
Treat fracture of radius,25505,13389.0
Treat fracture of radius,25515,77165.6
Treat fracture radius & ulna,25565,10898.5
Treat fracture radius/ulna,25575,49940.6
Treat fracture radius/ulna,25600,6745.0
Treat fracture radius/ulna,25605,10800.8625
Treat fx distal radial,25606,49726.3
Treat fx rad extra-articul,25607,71472.36563
Treat fx rad intra-articul,25608,65641.38333
Treat fx radial 3+ frag,25609,92608.675
Treat fracture ulnar styloid,25652,109886.03
Drainage of finger abscess,26010,5220.224
Drain hand tendon sheath,26020,38618.1
Incise finger tendon sheath,26055,17586.5
Exc hand les sc < 1.5 cm,26115,45943.1
Exc hand tum deep < 1.5 cm,26116,11203.0
Release palm contracture,26123,33658.6
Tendon excision palm/finger,26145,41264.4
Remove hand bone lesion,26200,16350.0
Partial removal of hand bone,26230,20863.6
Removal of implant from hand,26320,26018.7
Repair finger/hand tendon,26350,32038.3
Repair finger tendon,26418,33415.5
Release hand/finger tendon,26445,31541.15
Reconstruct extra finger,26587,19921.9
Treat metacarpal fracture,26608,29220.4
Treat metacarpal fracture,26615,55456.925
Treat thumb fracture,26650,165504.2
Pin hand dislocation,26676,40194.4
Treat knuckle dislocation,26700,14268.0
Treat knuckle dislocation,26705,12326.5
Treat finger fracture each,26725,56598.86
Treat finger fracture each,26727,27846.1
Treat finger fracture each,26735,32038.3
Treat finger fracture each,26742,24588.7
Pin finger fracture each,26756,20269.2
Treat finger fracture each,26765,28406.8
Treat finger dislocation,26770,14098.5
Amputation of finger/thumb,26951,25410.56667
Unlisted px hands/fingers,26989,31775.6
Drainage of pelvis lesion,26990,21344.9
Total hip arthroplasty,27130,142632.5567
Treat slipped epiphysis,27176,38702.8
Treat pelvic fracture(s),27215,50587.8
Treat thigh fracture,27245,82846.25
Treat hip dislocation,27250,27410.0
Treat hip dislocation,27265,14549.9
Treat hip dislocation,27266,16932.70833
Arthrd si jt perq/min nvas,27279,122087.9
Unlisted px pelvis/hip joint,27299,67296.625
Drain thigh/knee lesion,27301,28400.1
Removal of knee cartilage,27333,111273.9
Remove knee joint lining,27335,78653.9
Exc thigh/knee les sc 3 cm/>,27337,17791.0
Exc thigh/knee tum dep 5cm/>,27339,23242.3
Repair of thigh muscle,27385,42070.46667
Repair of knee ligament,27405,58026.25
Osteochondral knee allograft,27415,99534.36667
Revision of unstable kneecap,27422,81349.95
Reconstruction knee,27428,78505.35
Revise kneecap with implant,27438,79038.0
Revision of knee joint,27446,115921.3
Total knee arthroplasty,27447,123365.2738
Repair/graft of thigh,27472,138431.8
Revise/replace knee joint,27486,93782.56667
Revise/replace knee joint,27487,165253.2
Treat kneecap fracture,27524,37622.7
Treat knee fracture,27532,116383.0
Treat knee fracture,27536,77496.3
Treat kneecap dislocation,27560,5718.0
Treat kneecap dislocation,27562,6711.0
Treat kneecap dislocation,27566,63399.35
Fixation of knee joint,27570,17830.8125
Unlisted px femur/knee,27599,24343.86
Decompression of lower leg,27602,33332.8
Drain lower leg lesion,27603,43034.4
Explore/treat ankle joint,27610,26854.0
Explore/treat ankle joint,27620,44435.3
Remove lower leg bone lesion,27635,37278.4
Repair achilles tendon,27650,51829.76667
Repair of achilles tendon,27654,60370.9
Repair of leg tendon each,27664,25739.1
Revision of calf tendon,27687,23342.9
Repair of ankle ligament,27695,65958.7
Repair of ankle ligament,27698,68976.4
Repair/graft of tibia,27724,106865.6
Repair fibula nonunion,27726,49424.6
Treatment of tibia fracture,27752,60324.66
Treatment of tibia fracture,27759,100349.8143
Cltx med ankle fx w/mnpj,27762,11950.0
Optx medial ankle fx,27766,47901.7
Optx post ankle fx,27769,126803.6
Treatment of fibula fracture,27784,72925.7
Treatment of ankle fracture,27788,14814.0
Treatment of ankle fracture,27792,64281.17
Treatment of ankle fracture,27810,27436.95
Treatment of ankle fracture,27814,71366.34444
Treatment of ankle fracture,27818,14571.0
Treatment of ankle fracture,27822,72300.8
Treatment of ankle fracture,27823,115376.6
Treat lower leg fracture,27825,8381.5
Treat lower leg fracture,27828,145729.1
Treat lower leg joint,27829,71949.52857
Amputation of lower leg,27880,40273.4
Exc foot/toe tum sc 1.5 cm/>,28039,19377.0
Removal of heel spur,28119,23953.3
Partial removal of toe,28124,25724.8
Removal of foot foreign body,28190,5281.0
Repair of foot tendon,28200,50988.1
Repair of foot tendon,28208,31432.8
Release of foot contracture,28270,122011.0
Repair of hammertoe,28285,83742.5
Corrj halux rigdus w/o implt,28289,39524.7
Correction hallux valgus,28296,41891.1
Correction hallux valgus,28297,122011.0
Correction hallux valgus,28299,45474.0
Treat metatarsal fracture,28485,52833.3
Treat big toe fracture,28505,22518.0
Treatment of toe fracture,28515,4759.0
Treat toe dislocation,28630,2322.0
Fusion of big toe joint,28750,73159.55
Amputation thru metatarsal,28805,40585.0
Amputation toe & metatarsal,28810,28141.05
Amputation of toe,28820,23472.8
Unlisted px foot/toes,28899,3826.0
Application of long arm cast,29065,27207.0
Apply long arm splint,29105,5165.418182
Apply forearm splint,29126,5994.588235
Application of finger splint,29131,3899.666667
Apply rigid leg cast,29445,12869.5
Application long leg splint,29505,7058.619048
Application lower leg splint,29515,8180.815703
Strapping of toes,29550,3362.0
Appl multlay comprs arm/hand,29584,4775.0
Sho arthrs srg capsulorraphy,29806,94636.52941
Sho arthrs srg rpr slap les,29807,83476.87143
Sho arthrs srg lmtd dbrdmt,29822,70187.9
Sho arthrs srg xtnsv dbrdmt,29823,48300.2
Sho arthrs srg dstl claviclc,29824,81924.23256
Sho arthrs srg lss&rescj ads,29825,44703.6
Sho arthrs srg decompression,29826,88125.29474
Sho arthrs srg rt8tr cuf rpr,29827,100356.4656
Sho arthrs srg bicp tenodsis,29828,91692.25882
Wrist arthroscopy/surgery,29846,42220.0
Hip arthro w/fb removal,29861,85382.3
Hip arthr0 w/debridement,29862,86048.7
Allgrft implnt knee w/scope,29867,90036.2
Knee arthroscopy dx,29870,43973.36667
Knee arthroscopy/surgery,29873,48066.26667
Knee arthroscopy/surgery,29874,60670.1
Knee arthroscopy/surgery,29875,35580.1125
Knee arthroscopy/surgery,29876,54512.8
Knee arthroscopy/surgery,29877,29007.66
Knee arthroscopy/surgery,29879,44789.3
Knee arthroscopy/surgery,29880,50999.32593
Knee arthroscopy/surgery,29881,38009.08095
Knee arthroscopy/surgery,29882,65358.82308
Knee arthroscopy/surgery,29883,121903.5
Knee arthroscopy/surgery,29884,31388.5
Knee arthroscopy/surgery,29888,97125.648
Knee arthroscopy/surgery,29889,120154.2
Hip arthro w/femoroplasty,29914,77349.10769
Hip arthro acetabuloplasty,29915,67439.2
Hip arthro w/labral repair,29916,82735.71176
Unlisted px arthroscopy,29999,100727.7867
Resect inferior turbinate,30140,42215.20667
Remove nasal foreign body,30300,1764.444444
Remove nasal foreign body,30310,11442.5
Reconstruction of nose,30420,48008.0
Repair nasal stenosis,30465,44013.8
Repair of nasal septum,30520,52766.1875
Control of nosebleed,30901,4935.91431
Control of nosebleed,30903,35066.2
Control of nosebleed,30905,6329.0
Nasal endoscopy dx,31231,13443.0
Nasal/sinus endoscopy surg,31237,30714.6
Nasal/sinus endoscopy surg,31238,29990.275
Nasal/sinus endoscopy surg,31240,79114.05
Endoscopy maxillary sinus,31267,119841.8
Nsl/sins ndsc frnt tiss rmvl,31276,119841.8
Insert emergency airway,31500,38170.58
Change of windpipe airway,31502,11494.66667
Dx laryngoscopy excl nb,31525,16763.0
Laryngoscopy and dilation,31528,24857.7
Laryngoscopy and dilation,31529,36824.05
Laryngoscopy w/biopsy,31535,24599.1
Largsc w/ther injection,31573,21488.1
Largsc w/removal lesion,31578,36824.05
Laryngoplasty medialization,31591,21041.1
Dx bronchoscope/wash,31622,24496.66667
Dx bronchoscope/brush,31623,22016.2
Dx bronchoscope/lavage,31624,20824.80714
Bronchoscopy w/biopsy(s),31625,22418.15
Navigational bronchoscopy,31627,22515.3
Bronchoscopy/lung bx each,31628,26188.35
Bronchoscopy dilate/fx repr,31630,27160.1
Bronchoscopy dilate w/stent,31631,41239.3
Bronchoscopy/lung bx addl,31632,21915.95
Bronchoscopy w/tumor excise,31640,27160.1
Bronchoscopy treat blockage,31641,41239.3
Remove windpipe lesion,31785,24857.7
Unlisted px trachea bronchi,31899,24279.48
Core ndl bx lng/med perq,32408,18363.09091
Insert pleural cath,32550,27082.0
Insertion of chest tube,32551,41118.0
Aspirate pleura w/o imaging,32554,21958.0
Insrt heart pm atrial & vent,33208,80113.375
Reposition pacing-defib lead,33215,10606.22
Remv&replc pm gen dual lead,33228,25816.0
Repair blood vessel lesion,35206,37210.6
Repair blood vessel lesion,35221,179291.6
Ins cath ren art 1st unilat,36251,86262.0
Ins cath ren art 1st bilat,36252,86189.0
Ins cath ren art 2nd+ bilat,36254,47067.0
Non-routine bl draw 3/> yrs,36410,24640.8
Insert tunneled cv cath,36561,25447.46364
Insj picc 5 yr+ w/o imaging,36569,13473.89118
Insert picvad cath,36571,28271.0
Insj picc rs&i 5 yr+,36573,4464.166667
Repair tunneled cv cath,36576,26419.1
Replace tunneled cv cath,36581,26531.2
Replace tunneled cv cath,36582,17190.0
Declot vascular device,36593,24060.3
Insert needle bone cavity,36680,23682.4
Av fuse uppr arm basilic,36819,57507.35
Av fusion direct any site,36821,47636.29286
Artery-vein nonautograft,36830,83484.45
Av fistula revision open,36832,40677.98
Intro cath dialysis circuit,36901,19831.17813
Intro cath dialysis circuit,36902,20535.21429
Intro cath dialysis circuit,36903,27403.0
Thrmbc/nfs dialysis circuit,36905,56043.0
Thrmbc/nfs dialysis circuit,36906,38525.0
Balo angiop ctr dialysis seg,36907,21434.87353
Thrombolytic venous therapy,37212,5238.0
Iliac revasc w/stent,37221,86846.0
Fem/popl revas w/tla,37224,85454.54667
Fem/popl revas w/ather,37225,126877.5
Fem/popl revasc w/stent,37226,123523.0
Fem/popl revasc stnt & ather,37227,150149.5
Tib/per revasc w/tla,37228,119269.3143
Tib/per revasc w/ather,37229,139568.5
Tib/per revasc w/stent,37230,156951.0
Tib/per revasc add-on,37232,78951.0
Open/perq place stent 1st,37236,130806.0
Intrvasc us noncoronary 1st,37252,109380.5556
Intrvasc us noncoronary addl,37253,156238.0
Ligation of a-v fistula,37607,59506.825
Temporal artery procedure,37609,13208.0
Dx bone marrow biopsies,38221,23667.22581
Dx bone marrow bx & aspir,38222,20688.0
Biopsy/removal lymph nodes,38500,25199.0
Needle biopsy lymph nodes,38505,17527.1
Biopsy/removal lymph nodes,38525,51533.70538
Removal pelvic lymph nodes,38562,83373.5
Laparoscopy lymph node biop,38570,61594.7
Laparoscopy lymphadenectomy,38571,72781.31
Laparoscopy lymphadenectomy,38572,98332.2
Io map of sent lymph node,38900,55584.82
Mediastinoscpy w/lmph nod bx,39402,7016.0
Drainage of mouth lesion,40800,2588.5
Biopsy of mouth lesion,40808,28268.4
Excise lip or cheek fold,40819,31163.0
Repair mouth laceration,40830,33933.69
Incision of tongue fold,41010,11259.95
Excision of tongue fold,41115,279.0
Repair tongue laceration,41250,3554.0
Drainage of gum lesion,41800,1942.333333
Excision of gum lesion,41825,28316.1
Repair gum,41872,22844.0
Repair tooth socket,41874,26068.2025
Unlisted px dentalvlr strux,41899,23373.20523
Biopsy roof of mouth,42100,23663.85
Repair palate pharynx/uvula,42145,37337.2
Biopsy of salivary gland,42400,6793.0
Excise parotid gland/lesion,42415,49500.8
Drainage of tonsil abscess,42700,9609.155556
Biopsy of throat,42800,17083.0
Excision of neck cyst,42815,38033.0
Remove tonsils and adenoids,42820,22028.63333
Remove tonsils and adenoids,42821,41567.0
Removal of tonsils,42825,43720.0
Removal of tonsils,42826,29857.48
Removal of adenoids,42830,22817.625
Removal of adenoids,42831,22025.5
Control throat bleeding,42960,30151.5
Control throat bleeding,42962,27098.6
Control nose/throat bleeding,42972,35615.1
Dise eval slp do brth flx dx,42975,18553.94286
Esophagoscopy lesion ablate,43229,22684.0
Egd diagnostic brush wash,43235,9522.629268
Uppr gi scope w/submuc inj,43236,21780.08
Egd biopsy single/multiple,43239,13868.08487
Egd varices ligation,43244,57454.7
Egd dilate stricture,43245,23652.4
Egd place gastrostomy tube,43246,18374.2
Egd remove foreign body,43247,24115.80952
Esoph egd dilation <30 mm,43249,23634.71875
Egd cautery tumor polyp,43250,13909.0
Egd remove lesion snare,43251,13148.84
Egd control bleeding any,43255,17761.08
Egd lesion ablation,43270,28161.33333
Lap myotomy heller,43279,62505.8
Laparoscopy fundoplasty,43280,54420.85556
Lap paraesophag hern repair,43281,53650.06667
Lap paraesoph her rpr w/mesh,43282,76802.2
Unlisted laps px stomach,43659,64222.2
Tx gastro intub w/asp,43753,26916.95
Rplc gtube no revj trc,43762,3963.307692
Unlisted procedure stomach,43999,19292.4
Freeing of bowel adhesion,44005,34402.9
Removal of small intestine,44120,93198.3
Partial removal of colon,44140,83228.3
Removal of colon,44160,110769.0
Lap enterolysis,44180,32228.3
Lap enterectomy,44202,61977.3
Unlisted laps px intestine,44238,41344.9
Small bowel endoscopy/biopsy,44377,14044.5
Colonoscopy thru stoma spx,44388,15000.0
Colonoscopy with biopsy,44389,10353.5
Colonoscopy w/snare,44394,11058.2
Appendectomy,44950,39315.3
Laparoscopy appendectomy,44970,55981.30566
Diagnostic sigmoidoscopy,45330,7783.74
Sigmoidoscopy and biopsy,45331,10824.54
Sigmoidoscopy w/fb removal,45332,24700.3
Sigmoidoscopy for bleeding,45334,21579.3
Sigmoidoscopy w/submuc inj,45335,11927.0
Sigmoidoscopy w/tumr remove,45338,17813.16667
Diagnostic colonoscopy,45378,8584.656744
Colonoscopy and biopsy,45380,12015.15568
Colonoscopy submucous njx,45381,13969.37273
Colonoscopy w/control bleed,45382,22412.4
Colonoscopy w/lesion removal,45384,12793.85714
Colonoscopy w/lesion removal,45385,12468.31716
Colonoscopy w/balloon dilat,45386,16772.0
Colonoscopy w/ablation,45388,9149.75
Colonoscopy w/band ligation,45398,13416.85714
Laparoscope proc rectum,45499,45879.8
Correct rectal prolapse,45541,33301.8
Incision of rectal abscess,46040,24568.68
Incision of anal abscess,46050,11132.32727
Incise external hemorrhoid,46083,6892.0
Remove ext hem groups 2+,46250,26130.4
Remove int/ext hem 1 group,46255,29750.2
Remove in/ex hem groups 2+,46260,27249.46
Remove anal fist subq,46270,19587.1
Diagnostic anoscopy spx,46600,23597.4
Hemorrhoidopexy by stapling,46947,25244.5
Unlisted procedure anus,46999,27617.1
Unlisted laps px liver,47379,39206.6
Laparoscopic cholecystectomy,47562,47170.36966
Laparo cholecystectomy/graph,47563,48111.05333
Laparo cholecystectomy/explr,47564,88997.1
Unlisted laps px biliary trc,47579,88997.1
Abd paracentesis,49082,14385.0
Biopsy abdominal mass,49180,25704.59333
Diag laparo separate proc,49320,36999.58
Laparoscopy biopsy,49321,44763.92857
Laparoscopy aspiration,49322,47641.3
Lap insert tunnel ip cath,49324,32149.4
Lap revision perm ip cath,49325,26680.4
Unlstd laps px abd pertm&omn,49329,61921.93
Ins tun ip cath for dial opn,49421,38792.25
Remove tunneled ip cath,49422,31708.95
Prp i/hern init reduc >5 yr,49505,33660.1875
Prp i/hern init block >5 yr,49507,33648.16667
Rerepair ing hernia reduce,49520,30019.15
Rerepair ing hernia blocked,49521,30331.0
Rpr rem hernia init reduce,49550,38877.5
Rpr fem hernia init blocked,49553,51953.9
 RPR VENTRAL HERN INIT REDUC,49560,44764.025
 RPR VENTRAL HERN INIT BLOCK,49561,33044.3
 REREPAIR VENTRL HERN REDUCE,49565,47619.2
 HERNIA REPAIR W/MESH,49568,44483.55556
 RPR UMBIL HERN REDUC > 5 YR,49585,32588.225
 RPR UMBIL HERN BLOCK > 5 YR,49587,37437.25
Lap ing hernia repair init,49650,42250.71319
Lap ing hernia repair recur,49651,45267.35
 LAP VENT/ABD HERNIA REPAIR,49652,54313.98333
 LAP VENT/ABD HERN PROC COMP,49653,44899.00526
 LAP INC HERNIA REPAIR,49654,44144.83333
 LAP INC HERN REPAIR COMP,49655,46468.64615
 LAP INC HERNIA REPAIR RECUR,49656,57630.15
Unlstd laps px hrnap hrnrphy,49659,45754.1
Unlisted px abd pertm&omn,49999,51949.35
Renal biopsy perq,50200,42167.2
Exchange nephrostomy cath,50435,47160.4
Laparo partial nephrectomy,50543,61700.05
Laparoscopy pyeloplasty,50544,67419.06667
Fragmenting of kidney stone,50590,34470.9
Perc rf ablate renal tumor,50592,57347.25
Incise & drain bladder,51040,22703.9
Removal of bladder stone,51050,40490.2
Drain bl w/cath insertion,51102,23676.7
Insert bladder catheter,51701,30795.404
Insert temp bladder cath,51702,11136.35186
Change of bladder tube,51705,10452.66667
Us urine capacity measure,51798,3957.8
Repair of bladder wound,51860,87750.35
Cystoscopy,52000,61098.05714
Cystoscopy & ureter catheter,52005,68874.4
Cystoscopy and treatment,52235,25909.8
Cystoscopy and treatment,52240,38183.6
Cystoscopy and treatment,52260,20732.1
Cystoscopy and treatment,52265,35047.1
Remove bladder stone,52317,46824.045
Remove bladder stone,52318,64876.5
Cystoscopy and treatment,52332,50252.87333
Cystouretero & or pyeloscope,52351,37114.932
Cystouretero w/stone remove,52352,28286.68
Cystouretero w/lithotripsy,52353,32211.2
Cysto/uretero w/lithotripsy,52356,42360.648
Incision of prostate,52450,40508.1
Prostatectomy (turp),52601,42651.46
Laser surgery of prostate,52648,43762.34
Reconstruction of urethra,53410,48550.3
Male sling procedure,53440,58302.3
Insert uro/ves nck sphincter,53445,152144.05
Remove/replace ur sphincter,53447,123999.9
Circumcision neonate,54160,1652.0
Circum 28 days or older,54161,36259.05
Treatment of penis lesion,54220,5582.0
Insert multi-comp penis pros,54405,184477.8
Removal of testis,54520,25126.6
Reduce testis torsion,54600,35383.7
Remove epididymis lesion,54840,26087.2
Removal of hydrocele,55040,42274.05
Repair of hydrocele,55060,44965.9
Removal of sperm cord lesion,55520,33831.1
Unlstd laps px sprmatic cord,55559,44043.9
Biopsy of prostate,55700,14185.5
Laps surg prst8ect rpbic rad,55866,72733.0
Unlisted px male genital sys,55899,37810.35
I & d of vulva/perineum,56405,2145.5
Drainage of gland abscess,56420,19315.2
Surgery for vulva lesion,56440,37156.85
Partial removal of vulva,56620,97410.5
Partial removal of hymen,56700,15798.0
Remove vagina gland lesion,56740,36067.5
Repair of perineum,56810,67902.26667
Destroy vag lesions complex,57065,22246.1
Remove vagina lesion,57135,104396.1
Repair of vagina,57200,27123.5
Repair vagina/perineum,57210,90000.8
Anterior colporrhaphy,57240,47298.98571
Repair rectum & vagina,57250,56608.86
Cmbn ant pst colprhy,57260,54979.58
Cmbn ap colprhy w/ntrcl rpr,57265,65264.79091
Insert mesh/pelvic flr addon,57267,38634.8
Repair of bowel bulge,57268,77357.5
Colpopexy extraperitoneal,57282,63793.3
Colpopexy intraperitoneal,57283,54186.2
Revise/remove sling repair,57287,23060.1
Repair bladder defect,57288,59371.28621
Laparoscopy surg colpopexy,57425,59861.92857
Endocervical curettage,57505,17105.2
Conization of cervix,57520,28508.15
Conization of cervix,57522,17737.0
Biopsy of uterus lining,58100,42080.5
Dilation and curettage,58120,29813.35
Total hysterectomy,58150,69665.8
Vaginal hysterectomy,58260,63620.05
Vag hyst including t/o,58262,54045.62
Vag hyst w/t/o & vag repair,58263,55695.7
Vag hyst complex,58290,54186.2
Vag hyst incl t/o complex,58291,104396.1
Insert intrauterine device,58300,31114.49667
Remove intrauterine device,58301,25324.95
Lsh w/t/o ut 250 g or less,58542,54905.6
Laparoscopic myomectomy,58545,52813.2
Laparo-asst vag hysterectomy,58550,52971.9
Laparo-vag hyst incl t/o,58552,65226.5129
Laparo-vag hyst w/t/o compl,58554,79703.05
Hysteroscopy dx sep proc,58555,21426.05
Hysteroscopy biopsy,58558,30350.01314
Hysteroscopy remove myoma,58561,26301.79
Hysteroscopy remove fb,58562,21099.3
Hysteroscopy ablation,58563,37244.32857
Tlh uterus 250 g or less,58570,68264.93333
Tlh w/t/o 250 g or less,58571,56562.18333
Tlh uterus over 250 g,58572,122011.0
Tlh w/t/o uterus over 250 g,58573,59042.48
Laparoscopy remove adnexa,58661,44569.60238
Laparoscopy excise lesions,58662,46774.53684
Unlisted laps px ovidct ovry,58679,66886.9
Removal of ovary/tube(s),58720,50016.7
Removal of ovarian cyst(s),58925,50016.7
Treat ectopic pregnancy,59151,55650.65
D & c after delivery,59160,28861.68167
Episiotomy or vaginal repair,59300,17470.0
Deliver placenta,59414,17470.0
Treatment of miscarriage,59812,29543.25
Care of miscarriage,59820,24554.025
Partial removal of thyroid,60220,58724.0
Removal of thyroid,60240,63305.88
Repeat thyroid surgery,60260,61806.6
Remove thyroid duct lesion,60280,43720.0
Aspir/inj thyroid cyst,60300,4049.0
Explore parathyroid glands,60500,67919.55
Scan proc cranial extra,61782,119841.8
Scan proc spinal,61783,227898.35
Njx interlaminar lmbr/sac,62322,43843.2
Remove spine lamina 1/2 crvl,63001,91435.1
Low back disk surgery,63030,63987.56327
Spinal disk surgery add-on,63035,60734.5
Laminotomy single lumbar,63042,68472.58462
Lam facetec & foramot crv,63045,90998.7
Lam facetec & foramot thrc,63046,61196.45
Lam facetec & foramot lumbar,63047,56542.14576
Lam facetec &foramot ea addl,63048,57540.88
Lam facetc/frmt arthrd lum 1,63052,265698.0
Decompress spinal cord lmbr,63056,43597.9
Excise intrspinl lesion lmbr,63267,50275.8
Implant neuroelectrodes,63655,190623.1933
Remove spine eltrd perq aray,63661,26494.0
Remove spine eltrd plate,63662,35624.0
Revise spine eltrd plate,63664,51684.3
Insrt/redo spine n generator,63685,190623.1933
Revise/remove neuroreceiver,63688,32580.66667
Njx aa&/strd trigeminal nrv,64400,2161.2
Njx aa&/strd gr ocpl nrv,64405,5061.333333
Njx aa&/strd brch plxs img,64415,149926.9048
Njx aa&/strd brch pl nfs img,64416,14294.0
Njx aa&/strd ax nerve img,64417,49785.03333
Njx aa&/strd sprscap nrv,64418,61268.3
Njx aa&/strd ntrcost nrv 1,64420,103915.9667
Njx aa&/strd sciatic nrv img,64445,77054.2
Njx aa&/strd femoral nrv img,64447,106776.6279
Njx aa&/strd fem nrv nfs img,64448,110708.3333
Njx aa&/strd other pn/branch,64450,54990.2172
Njx aa&/strd gnclr nrv brnch,64454,65094.6
Njx aa&/strd tfrm epi l/s 1,64483,45734.65652
Tap block unil by injection,64486,29279.0
Inj paravert f jnt l/s 1 lev,64493,21009.0
N block lumbar/thoracic,64520,53620.9
Opn mpltj hpglsl nstm ary pg,64582,175950.9818
Injection treatment of nerve,64640,65565.7
Revise finger/toe nerve,64702,15370.0
Revise hand/foot nerve,64704,17803.0
Revise arm/leg nerve,64708,46275.4
Revise ulnar nerve at elbow,64718,47169.40833
Revise ulnar nerve at wrist,64719,49405.0
Carpal tunnel surgery,64721,27591.51803
Nerve repair w/allograft,64910,50274.5
Unlisted px nervous system,64999,54268.54
Remove foreign body from eye,65205,2499.0
Remove foreign body from eye,65220,2378.4
Remove foreign body from eye,65222,2645.4
Drainage of eyelid abscess,67700,23482.0
Remove eyelid foreign body,67938,3126.0
Remove ear canal lesion(s),69145,17038.6
Clear outer ear canal,69200,2635.0
Clear outer ear canal,69205,14634.5
Remove impacted ear wax uni,69209,2005.0
Remove impacted ear wax uni,69210,11390.57273
Clean out mastoid cavity,69220,23448.7
Create eardrum opening,69436,22030.12143
Repair eardrum structures,69631,16706.0
Nps surg dilat eust tube uni,69705,25163.05
Prq card revasc chronic 1vsl,92943,128440.0
Doppler echo exam heart,93320,5223.0
Doppler color flow add-on,93325,5223.0
Osteopath manj 3-4 regions,98926,25929.0
Ca screen;flexi sigmoidscope,G0104,15569.35
Colorectal scrn; hi risk ind,G0105,7402.165625
